iter	RMSE
0	159.0234238
1	158.0747421
2	156.7941793
3	155.5415982
4	154.2200605
5	153.0969846
6	151.8741235
7	150.8809169
8	150.3008438
9	149.0096304
10	147.706543
11	146.7756417
12	145.7858532
13	144.8174839
14	143.7898523
15	142.9742192
16	141.7374489
17	140.874706
18	139.7411618
19	139.0495086
20	138.1506941
21	137.3696563
22	136.7964112
23	135.9467717
24	135.3620808
25	134.3477153
26	133.9476533
27	133.086278
28	132.2490563
29	131.4243716
30	130.9504898
31	130.5074599
32	129.8901831
33	129.716374
34	128.7959827
35	128.0686278
36	127.2892307
37	126.5384841
38	125.8452889
39	125.4866149
40	125.4604311
41	125.0658498
42	124.3363296
43	123.5457326
44	122.8425245
45	122.373102
46	121.6466089
47	121.0961697
48	120.6476243
49	120.227794
50	119.4952424
51	119.0021476
52	118.4162382
53	118.3536599
54	117.8743652
55	117.2786676
56	117.2567936
57	117.2132603
58	116.768803
59	116.5991851
60	116.1264605
61	115.509837
62	115.2750204
63	114.7185056
64	114.4987088
65	114.4773549
66	113.9836217
67	113.8324696
68	113.7897811
69	113.2479691
70	112.7229632
71	112.4075735
72	111.7310956
73	111.5854094
74	110.9429032
75	110.8114151
76	110.3726177
77	109.9364546
78	109.8172754
79	109.3393055
80	109.1266917
81	108.6532552
82	108.6384853
83	108.1771517
84	107.7647549
85	107.368477
86	106.9862681
87	106.486666
88	106.1435521
89	105.7507721
90	105.7188071
91	105.2898757
92	104.8644171
93	104.6031372
94	104.5266787
95	104.3268908
96	103.9126465
97	103.4740051
98	103.108529
99	102.9526111
100	102.5974304
101	102.5226798
102	102.1990924
103	101.7857867
104	101.466269
105	101.1540377
106	100.8507271
107	100.4471118
108	100.1373231
109	99.81055456
110	99.56962985
111	99.24164031
112	99.0438405
113	98.72654078
114	98.24050487
115	97.88711813
116	97.65140219
117	97.29136392
118	96.97744867
119	96.78383071
120	96.30277686
121	95.99016247
122	95.79117603
123	95.57986727
124	95.26733991
125	94.90135884
126	94.59495408
127	94.25509276
128	93.93735848
129	93.69634805
130	93.39713047
131	93.11934303
132	92.71496462
133	92.33821733
134	91.96468603
135	91.68601993
136	91.44391489
137	91.19591237
138	90.94753064
139	90.5765344
140	90.39595359
141	90.24969012
142	89.9441148
143	89.61789334
144	89.27907684
145	89.04902911
146	88.73373343
147	88.60390555
148	88.50310657
149	88.33049271
150	88.03451696
151	87.69948934
152	87.33478332
153	87.16821876
154	86.9072395
155	86.64732212
156	86.46400269
157	86.23769555
158	85.98053302
159	85.73586706
160	85.36208135
161	85.04606765
162	85.02745497
163	84.83005647
164	84.55531419
165	84.27700472
166	83.90898874
167	83.60819699
168	83.35214745
169	83.11830757
170	82.85181781
171	82.67511559
172	82.49379317
173	82.19072672
174	81.95245286
175	81.68117494
176	81.39543578
177	81.16159144
178	80.94561082
179	80.63629443
180	80.35611071
181	79.99339713
182	79.77098414
183	79.58700589
184	79.31913937
185	79.02575375
186	78.77054372
187	78.58106977
188	78.37803921
189	78.12144862
190	77.82887574
191	77.60325188
192	77.45582705
193	77.20975804
194	76.97106081
195	76.76018371
196	76.53749245
197	76.28901427
198	75.99450009
199	75.81758404
200	75.57649433
201	75.32893364
202	75.1206434
203	74.91696955
204	74.65392492
205	74.37080194
206	74.1047312
207	73.91093191
208	73.7590543
209	73.57222755
210	73.38076387
211	73.11262699
212	72.97744505
213	72.85599171
214	72.61287313
215	72.43828525
216	72.20739508
217	72.03740574
