Count
""
""
""
""
""
""
""
""
""
""
""
""
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
162.0
70.0
21.0
18.0
2.0
99.0
213.0
344.0
329.0
394.0
617.0
490.0
140.0
132.0
3.0
10.0
6.0
6.0
478.0
1013.0
37.0
-175.0
-265.0
-56.0
23.0
-150.0
42.0
-26.0
-8.0
-102.0
-250.0
-925.0
296.0
199.0
77.0
-6.0
285.0
119.0
-21.0
54.0
27.0
35.0
960.0
59.0
-383.0
-80.0
29.0
100.0
-62.0
-104.0
-3.0
-11.0
-16.0
-13.0
-469.0
53.0
8.0
-113.0
-18.0
-87.0
-348.0
