,ADF_Statistic_Original,p_value_Original,Stationary_Original,ADF_Statistic_1st_Diff,p_value_1st_Diff,Stationary_1st_Diff,ADF_Statistic_2nd_Diff,p_value_2nd_Diff,Stationary_2nd_Diff,"ARIMA(1, 1, 1)_RMSE","ARIMA(1, 0, 1)_RMSE","ARIMA(2, 1, 1)_RMSE","ARIMA(2, 2, 1)_RMSE","ARIMA(2, 2, 2)_RMSE","ARIMA(2, 0, 1)_RMSE",Best_ARIMA,Best_ARIMA_RMSE,"SARIMAX((0, 0, 0), (0, 0, 1, 12))_RMSE","SARIMAX((0, 0, 0), (0, 1, 0, 12))_RMSE","SARIMAX((0, 0, 0), (1, 0, 0, 12))_RMSE","SARIMAX((0, 0, 0), (0, 1, 1, 12))_RMSE","SARIMAX((0, 0, 0), (1, 1, 1, 12))_RMSE","SARIMAX((0, 0, 0), (1, 1, 0, 12))_RMSE",Best_SARIMAX,Best_SARIMAX_RMSE,Best_Model,Best_Model_RMSE,May_2024_Forecast
sku31,-2.5952315088412803,0.09398682813712433,No,-5.02615322100266,1.969470691396802e-05,Yes,-5.070066314641478,1.609781400294559e-05,Yes,442.1995477330627,1237.8281718217365,425.23317997763723,1072.9429996672582,898.0084121504352,1297.0238968011677,"(2, 1, 1)",425.23317997763723,466.9641611324805,896.0664967884172,514.4707838471885,923.9306547613769,934.0032853516351,948.3128669267611,"((0, 0, 0), (0, 0, 1, 12))",466.9641611324805,ARIMA,425.23317997763723,437.82181778001257
sku32,-3.3523347730714486,0.012695150848223206,Yes,-5.088074332542423,1.4814079077021123e-05,Yes,-4.184263148560929,0.0007005018921716856,Yes,2303.4628191950133,2838.3827796751666,2531.170490514285,2399.5592363265646,2447.2590812853286,2831.1930390811112,"(1, 1, 1)",2303.4628191950133,3090.4469587177955,2357.203180324796,2693.8071511417847,2636.470316417101,2064.4452814692613,1937.8320603090715,"((0, 0, 0), (1, 1, 0, 12))",1937.8320603090715,SARIMAX,1937.8320603090715,1172.7451580676154
sku33,-0.416683240734156,0.9072757874983326,No,-7.837485971382695,6.060330282529255e-12,Yes,-7.02558728431389,6.377157906110348e-10,Yes,1158.3647857345209,1131.943324738083,1044.6932130794694,1054.14591020246,1066.4061399244747,1052.1008411688692,"(2, 1, 1)",1044.6932130794694,788.939680848658,919.9163911283822,747.512643932372,879.4803574455518,919.9777620132552,875.3588105297918,"((0, 0, 0), (1, 0, 0, 12))",747.512643932372,SARIMAX,747.512643932372,5.210060255647143
sku34,-4.9916928903381415,2.30488117376242e-05,Yes,-6.14474601512107,7.816204189657406e-08,Yes,-4.6360756254203945,0.00011077320947717496,Yes,66.86598608599917,580.7067091120635,66.09070648712733,76.62335609519651,99.38715216583928,594.888451242867,"(2, 1, 1)",66.09070648712733,1666.8332569780787,223.9423288855113,50.58233425581352,1581.221305311561,3741.331169772615,1021.0727557585254,"((0, 0, 0), (1, 0, 0, 12))",50.58233425581352,SARIMAX,50.58233425581352,28.947277162924767
sku35,-1.5091048173839978,0.5290026040664485,No,-8.981212282224469,7.301617345438297e-15,Yes,-7.507250902577465,4.103562124272421e-11,Yes,2031.223211469146,2042.7752893234122,2036.904959931199,2046.9049661861902,2042.1090747661206,2058.3383799449466,"(1, 1, 1)",2031.223211469146,1031.5879654224836,1289.5958023091316,687.1652260932308,1358.3025277483582,1505.0664376201396,1395.7428209551142,"((0, 0, 0), (1, 0, 0, 12))",687.1652260932308,SARIMAX,687.1652260932308,-4.6061090816412555
sku36,-4.40169838947536,0.00029478499399197985,Yes,-8.687763987205281,4.118835936599953e-14,Yes,-5.425683118498579,2.99091884558188e-06,Yes,1268.6348388413376,1561.7578021462214,1614.4103614282399,1549.1775258860687,1549.8076704982461,1561.070922521597,"(1, 1, 1)",1268.6348388413376,2146.4815181659137,1867.6853767877144,1722.6996937762365,1145.7041488539307,1115.6362198051302,1522.3297163067339,"((0, 0, 0), (1, 1, 1, 12))",1115.6362198051302,SARIMAX,1115.6362198051302,367.78909406775557
sku37,-1.8055996353501642,0.37768519540925655,No,-2.5784024743231644,0.09754369810637215,No,-5.5206973083116475,1.8805737582539654e-06,Yes,3102.813427429705,3117.5398982364727,3188.4680064139325,3250.6299085425912,3193.2580679250254,3096.6015340382737,"(2, 0, 1)",3096.6015340382737,2911.507048696606,1952.1346008920593,2483.125595112704,2318.2558824404578,2149.2015266356216,1743.008906375704,"((0, 0, 0), (1, 1, 0, 12))",1743.008906375704,SARIMAX,1743.008906375704,-320.703808018898
sku38,-3.572636613660438,0.0063062278619599255,Yes,-5.840766116150691,3.782208777532256e-07,Yes,-4.652590368755287,0.00010321305358876006,Yes,281.78684130096366,376.950666502266,286.1060904153683,320.15507360430985,196.68687133948282,274.58454891093623,"(2, 2, 2)",196.68687133948282,790.5843265007517,460.19995654063246,455.3867092409002,571.073535850964,381.94181531415717,382.0482081156278,"((0, 0, 0), (1, 1, 1, 12))",381.94181531415717,ARIMA,196.68687133948282,585.767307524244
sku39,-5.346074265350766,4.392249504351038e-06,Yes,-4.542034589707587,0.00016496654021687262,Yes,-8.92627236246204,1.0093339612583369e-14,Yes,1522.7570257501595,1650.495586119493,1524.581746373643,1708.5879033740314,1319.2536054003012,1656.7375500072408,"(2, 2, 2)",1319.2536054003012,1807.5724842052095,1110.334709295655,1443.3754723657835,1207.9227699246503,1123.529149239604,1189.0154676495204,"((0, 0, 0), (0, 1, 0, 12))",1110.334709295655,SARIMAX,1110.334709295655,1854.0
sku40,-1.4116651033558483,0.5766711211162676,No,-7.931664970896774,3.499815187951308e-12,Yes,-4.844089809433037,4.4752303010831264e-05,Yes,182.2967766632717,171.91576303403,169.33263039944674,185.79927607029458,215.7469458683454,173.22135557373437,"(2, 1, 1)",169.33263039944674,251.24787321348916,275.66525594157366,219.52864174798046,269.9390961873205,267.9486572803427,220.01751424860444,"((0, 0, 0), (1, 0, 0, 12))",219.52864174798046,ARIMA,169.33263039944674,10.954017884744452
sku41,-4.498322397741205,0.00019801696440119052,Yes,-8.996888149395872,6.6574255594482555e-15,Yes,-5.127838161057852,1.232025001622306e-05,Yes,672.5603258786931,739.8720214862146,633.8266358447968,585.9078019084826,577.3042548803406,751.3098908228627,"(2, 2, 2)",577.3042548803406,1222.4769069471483,747.3609123665308,930.6155608983888,753.1185688145623,702.207196955824,481.0130817555994,"((0, 0, 0), (1, 1, 0, 12))",481.0130817555994,SARIMAX,481.0130817555994,806.4252862844419
sku42,-1.4054530454166714,0.5796590858929581,No,-5.059308854945834,1.691525854349737e-05,Yes,-7.780290555906831,8.452867751584162e-12,Yes,65.45084373612684,59.364829152890124,65.25891391201121,72.26790642855605,77.8422876460057,69.35913604235628,"(1, 0, 1)",59.364829152890124,854.0029844484047,54.020058003177525,37.44058810074826,550.5216792835154,1378.9224084135183,360.0349075441872,"((0, 0, 0), (1, 0, 0, 12))",37.44058810074826,SARIMAX,37.44058810074826,-0.38000033791021837
sku43,-1.6789961325141978,0.44196549268375346,No,-10.908535661715511,1.112077061847054e-19,Yes,-4.652343713082103,0.0001033222506689231,Yes,782.42965541309,783.119999867407,776.4341336160401,1067.0270566150002,732.2520599007272,788.1560235524631,"(2, 2, 2)",732.2520599007272,1944.8338716611645,2592.2662543290835,790.7351241649044,2592.205236135395,2592.1587958360547,2592.3206252763794,"((0, 0, 0), (1, 0, 0, 12))",790.7351241649044,ARIMA,732.2520599007272,41.73969100602608
sku44,-4.135625454392573,0.0008452194920595846,Yes,-3.673625818807912,0.004499801517501858,Yes,-6.217709001996492,5.315722335626941e-08,Yes,1459.9733337617463,1660.0810268677901,1339.2978216535641,2067.044620970527,1119.834438687372,1672.2411946706998,"(2, 2, 2)",1119.834438687372,1416.999625041403,2926.6140560950867,1243.3331136327836,1293.6913616055208,2926.6213180466243,1873.457302296951,"((0, 0, 0), (1, 0, 0, 12))",1243.3331136327836,ARIMA,1119.834438687372,2303.1755230954864
sku45,0.6347234792603401,0.9884409550705354,No,-3.3151653152898097,0.014214045078758317,Yes,-5.194569892858408,9.019307995170947e-06,Yes,1123.445259495443,1120.1227177845417,1103.0653304062869,1551.4178103679667,1094.2747263843182,1108.5632259981141,"(2, 2, 2)",1094.2747263843182,1019.913811762224,1387.5265763220536,1071.0740309760226,1421.4486961216612,1366.3679099381332,1436.3355662139074,"((0, 0, 0), (0, 0, 1, 12))",1019.913811762224,SARIMAX,1019.913811762224,1960.2606418779699
sku46,-1.6604165608725394,0.45161370458149425,No,-2.800616326273071,0.058185784165466374,No,-2.879515253186858,0.04778247757498919,Yes,179.05019281439274,133.27361229130335,147.0758983564034,248.7989982002005,504968.0742551575,131.7804853910553,"(2, 0, 1)",131.7804853910553,854.5401334086638,290.5497662478266,179.0096952330124,673.2919836762843,810.9481549402044,339.8220431407206,"((0, 0, 0), (1, 0, 0, 12))",179.0096952330124,ARIMA,131.7804853910553,-98.86781697717002
sku47,-3.3290010029839174,0.013630862778556284,Yes,-5.38319782061113,3.67359475098742e-06,Yes,-4.470633681895858,0.00022211359582599978,Yes,1777.5851301039604,1771.0299304124924,1785.996707334623,1814.7845333267605,1731.6042454926178,1768.332300086335,"(2, 2, 2)",1731.6042454926178,2135.9154965686503,1736.525746041983,1920.0672323674128,1478.7141621704513,1745.9197508296425,1660.1478967132825,"((0, 0, 0), (0, 1, 1, 12))",1478.7141621704513,SARIMAX,1478.7141621704513,113.53450322830179
sku48,-3.6807845205267826,0.004391700559215443,Yes,-4.109036343796505,0.000935745522009163,Yes,-3.5400177801171955,0.007016901151846865,Yes,528.9159650569799,542.1004481278142,375.511682654725,367.53609830801855,368.5815366017096,542.604914616849,"(2, 2, 1)",367.53609830801855,655.9663616199119,279.1498999940116,302.2297543658256,383.0862462745272,323.9650952149224,227.5488363193485,"((0, 0, 0), (1, 1, 0, 12))",227.5488363193485,SARIMAX,227.5488363193485,744.6548436428909
